Call ID,Customer Company Name,Sentiment,CSAT Score,Call Timestamp,Reason,City,State,Channel,Response Time,Call Duration (in Minutes),Call Center,First Contact Resolution (FCR) Flag,Abandon Flag,Agent
DKK-53935747-w-691971-fU,Techtronics Ltd,Negative,3,3/28/23 0:33,Account Update,San Jose,California,Call-Center,Above SLA,4,Dallas/TX,Y,N,Sophia Garcia
DKK-49126271-w-610743-fU,Nova Enterprises,Positive,4,8/8/23 2:13,New Service Inquiry,San Antonio,Illinois,Call-Center,Above SLA,38,New York/NY,Y,N,John Smith
DKK-66596691-w-532512-fU,Delta Services,Very Negative,2,4/25/23 8:18,Technical Support,San Diego,Texas,Chatbot,Above SLA,30,New York/NY,N,N,David Kim
DKK-76877449-w-392983-fU,Alpha Solutions,Very Positive,2,3/10/23 19:19,Payment Issue,Phoenix,Arizona,Call-Center,Within SLA,48,New York/NY,Y,Y,Daniel Lee
DKK-52989380-w-370506-fU,Techtronics Ltd,Very Negative,5,8/10/23 17:26,Technical Support,Dallas,Arizona,Chatbot,Within SLA,27,New York/NY,Y,N,Daniel Lee
DKK-60941783-w-783196-fU,Nova Enterprises,Neutral,5,2/4/23 5:11,Technical Support,Houston,New York,Call-Center,Within SLA,27,Los Angeles/CA,N,Y,Sophia Garcia
DKK-68049605-w-944727-fU,Global Ventures,Very Negative,5,4/20/23 8:07,Payment Issue,San Diego,Illinois,Chatbot,Above SLA,1,Los Angeles/CA,Y,N,David Kim
DKK-48713963-w-515245-fU,Alpha Solutions,Very Negative,4,3/3/23 8:26,Service Outage,Chicago,Michigan,Chatbot,Above SLA,30,New York/NY,N,Y,Emily Johnson
DKK-95766454-w-165487-fU,Omega Corp,Neutral,4,1/10/23 9:29,New Service Inquiry,Chicago,Arizona,Call-Center,Within SLA,57,New York/NY,Y,N,Michael Brown
DKK-35063761-w-255181-fU,Techtronics Ltd,Positive,2,12/19/23 19:08,Technical Support,New York,Texas,Chatbot,Within SLA,6,Chicago/IL,N,N,David Kim
DKK-27468099-w-231439-fU,Nova Enterprises,Very Positive,5,6/17/23 2:57,New Service Inquiry,Houston,California,Call-Center,Within SLA,54,New York/NY,N,N,Sophia Garcia
DKK-97328595-w-718963-fU,Omega Corp,Very Positive,3,11/12/23 5:02,Technical Support,Chicago,Illinois,Call-Center,Above SLA,60,Los Angeles/CA,Y,N,Daniel Lee
DKK-26183182-w-343985-fU,Astro Tech,Neutral,5,3/28/23 6:56,Payment Issue,San Antonio,Michigan,Call-Center,Within SLA,6,Dallas/TX,N,Y,Michael Brown
DKK-78454033-w-243571-fU,Alpha Solutions,Neutral,4,8/22/23 17:54,New Service Inquiry,San Diego,New York,Chatbot,Above SLA,53,Los Angeles/CA,N,Y,David Kim
DKK-94532415-w-188275-fU,Astro Tech,Very Negative,5,7/14/23 17:44,New Service Inquiry,New York,New York,Chatbot,Above SLA,59,Los Angeles/CA,N,N,Michael Brown
DKK-97297158-w-674858-fU,Global Ventures,Positive,4,3/24/23 17:41,New Service Inquiry,San Jose,Arizona,Call-Center,Within SLA,29,Dallas/TX,Y,Y,Linda Chen
DKK-60849665-w-291090-fU,Prime Associates,Neutral,1,3/30/23 7:41,Payment Issue,San Diego,New York,Chatbot,Within SLA,57,New York/NY,Y,Y,Sophia Garcia
DKK-66967417-w-201137-fU,Global Ventures,Neutral,5,5/16/23 17:57,New Service Inquiry,San Diego,Michigan,Chatbot,Above SLA,25,Los Angeles/CA,N,Y,Daniel Lee
DKK-67376423-w-223011-fU,Techtronics Ltd,Neutral,2,1/17/23 6:50,Service Outage,Houston,Michigan,Call-Center,Above SLA,10,New York/NY,N,N,Linda Chen
DKK-38406037-w-763809-fU,Astro Tech,Positive,3,2/10/23 1:47,Account Update,San Diego,California,Call-Center,Within SLA,8,Los Angeles/CA,N,Y,Daniel Lee
DKK-16805157-w-428464-fU,Delta Services,Very Negative,2,2/14/23 1:56,New Service Inquiry,Houston,Illinois,Chatbot,Above SLA,51,Dallas/TX,Y,N,Linda Chen
DKK-52915649-w-407795-fU,Delta Services,Neutral,4,6/10/23 21:35,Service Outage,Los Angeles,Arizona,Chatbot,Above SLA,53,Chicago/IL,N,Y,David Kim
DKK-75111297-w-958820-fU,Alpha Solutions,Negative,4,8/24/23 20:10,Billing Question,Detroit,Arizona,Call-Center,Above SLA,5,Los Angeles/CA,Y,Y,Daniel Lee
DKK-63661649-w-713464-fU,Astro Tech,Very Negative,1,8/6/23 3:21,Payment Issue,San Diego,Michigan,Call-Center,Above SLA,47,New York/NY,Y,N,Michael Brown
DKK-53935747-w-691971-fU,Techtronics Ltd,Negative,3,3/28/23 0:33,Account Update,San Jose,California,Call-Center,Above SLA,4,Dallas/TX,Y,N,Sophia Garcia
DKK-65784452-w-413935-fU,Astro Tech,Very Negative,2,4/21/23 6:45,New Service Inquiry,San Antonio,California,Call-Center,Within SLA,2,New York/NY,N,N,Daniel Lee
DKK-81905641-w-111489-fU,Prime Associates,Negative,3,10/29/23 18:23,Payment Issue,New York,Illinois,Call-Center,Within SLA,16,Dallas/TX,Y,Y,Sophia Garcia
DKK-94571321-w-161810-fU,Nova Enterprises,Neutral,2,5/5/23 23:07,Payment Issue,San Diego,California,Chatbot,Above SLA,55,Dallas/TX,Y,N,David Kim
